name,display_name,display_name_long,code,city,country,code,region
"Calgary","Calgary (YYC)","Calgary, Canadá, Calgary (YYC)","YYC","Calgary","Canadá","YYC",""
"Alfonso Bonilla Aragon","Alfonso Bonilla Aragon (CLO)","Cali, Colombia, Alfonso Bonilla Aragon (CLO)","CLO","Cali","Colombia","CLO",""
"Calvi-Sainte-Catherine","Calvi-Sainte-Catherine (CLY)","Calvi, Francia, Calvi-Sainte-Catherine (CLY)","CLY","Calvi","Francia","CLY",""
"Ing. Alberto Acuña Ongay","Ing. Alberto Acuña Ongay (CPE)","Campeche, México, Ing. Alberto Acuña Ongay (CPE)","CPE","Campeche","México","CPE",""
"Pres. João Suassuna","Pres. João Suassuna (CPV)","Campina Grande, Brasil, Pres. João Suassuna (CPV)","CPV","Campina Grande","Brasil","CPV","Paraíba"
"Viracopos","Viracopos (VCP)","Campinas, Brasil, Viracopos (VCP)","VCP","Campinas","Brasil","VCP","San Pablo"
"Campo Grande","Campo Grande (CGR)","Campo Grande, Brasil, Campo Grande (CGR)","CGR","Campo Grande","Brasil","CGR","Matto Grosso del Sur"
"Cancún","Cancún (CUN)","Cancún, México, Cancún (CUN)","CUN","Cancún","México","CUN",""
"San Cristobal Island","San Cristobal Island (SCY)","Canton San Cristobal, Equador, San Cristobal Island (SCY)","SCY","Canton San Cristobal","Equador","SCY","Galápagos"
"Guangzhou Baiyun","Guangzhou Baiyun (CAN)","Cantón, China, Guangzhou Baiyun (CAN)","CAN","Cantón","China","CAN",""
"Simón Bolívar","Simón Bolívar (CCS)","Caracas, Venezuela, Simón Bolívar (CCS)","CCS","Caracas","Venezuela","CCS",""
"Carajá","Carajá (CKS)","Carajás, Brasil, Carajá (CKS)","CKS","Carajás","Brasil","CKS","Pará"
"Carauari","Carauari (CAF)","Carauari, Brasil, Carauari (CAF)","CAF","Carauari","Brasil","CAF","Amazonas"
"Cardiff","Cardiff (CWL)","Cardiff, Reino Unido, Cardiff (CWL)","CWL","Cardiff","Reino Unido","CWL",""
"Rafael Núñez","Rafael Núñez (CTG)","Cartagena, Colombia, Rafael Núñez (CTG)","CTG","Cartagena","Colombia","CTG",""
"Mohammed V","Mohammed V (CMN)","Casablanca, Marruecos, Mohammed V (CMN)","CMN","Casablanca","Marruecos","CMN",""
"Cascavel","Cascavel (CAC)","Cascavel, Brasil, Cascavel (CAC)","CAC","Cascavel","Brasil","CAC","Paraná"
"Prince Nayef Bin Abdulaziz Regional","Prince Nayef Bin Abdulaziz Regional (ELQ)","Casim, Arabia Saudita, Prince Nayef Bin Abdulaziz Regional (ELQ)","ELQ","Casim","Arabia Saudita","ELQ",""
"Natrona County","Natrona County (CPR)","Casper, Estados Unidos, Natrona County (CPR)","CPR","Casper","Estados Unidos","CPR",""
